class,class_index,precision,recall,f1,support,true_positive,false_positive,false_negative
scratch,0,1.0000000000,0.9166666667,0.9565217391,72,66,0,6
surface_spot,1,0.9857142857,0.9583333333,0.9718309859,72,69,1,3
discoloration,2,1.0000000000,0.9861111111,0.9930069930,72,71,0,1
contamination,3,0.9452054795,0.9583333333,0.9517241379,72,69,4,3
lead_breakage,4,0.9863013699,1.0000000000,0.9931034483,72,72,1,0
body_chip,5,0.8658536585,0.9861111111,0.9220779221,72,71,11,1
body_crack,6,1.0000000000,0.9583333333,0.9787234043,72,69,0,3
