epoch,phase,backbone_trainable,train_loss,train_accuracy,validation_loss,validation_accuracy,selected_as_best
1,head_warmup,NO,2.0120395422,0.1369047619,1.9221162796,0.2142857143,NO
2,head_warmup,NO,1.9127735694,0.1904761905,1.8890930414,0.2142857143,NO
3,head_warmup,NO,1.8619615237,0.2261904762,1.8408392668,0.2500000000,NO
4,head_warmup,NO,1.8274554412,0.3273809524,1.8076866865,0.2857142857,NO
5,fine_tune,YES,1.7271934350,0.3392857143,1.7100620270,0.3214285714,YES
6,fine_tune,YES,1.1667848726,0.7202380952,1.2952251434,0.6428571429,YES
7,fine_tune,YES,0.8304982285,0.8392857143,0.8688284755,0.7857142857,YES
8,fine_tune,YES,0.5962974479,0.8928571429,0.5831745267,0.8928571429,YES
9,fine_tune,YES,0.4436335092,0.9047619048,0.4304510653,0.8928571429,YES
10,fine_tune,YES,0.3061632216,0.9464285714,0.3714077771,0.8928571429,YES
11,fine_tune,YES,0.2514238407,0.9464285714,0.2957789004,0.8928571429,YES
12,fine_tune,YES,0.1631447660,0.9821428571,0.2178705782,0.9642857143,YES
13,fine_tune,YES,0.1244211743,0.9880952381,0.1535400301,0.9642857143,YES
14,fine_tune,YES,0.0975798250,0.9821428571,0.1139740720,0.9642857143,YES
15,fine_tune,YES,0.0613431713,1.0000000000,0.0987463742,1.0000000000,YES
16,fine_tune,YES,0.0685127309,0.9940476190,0.0776209459,1.0000000000,YES
17,fine_tune,YES,0.0375019331,1.0000000000,0.0707787424,1.0000000000,YES
18,fine_tune,YES,0.0269389705,1.0000000000,0.0550186224,1.0000000000,YES
19,fine_tune,YES,0.0243964894,1.0000000000,0.0458368696,1.0000000000,YES
20,fine_tune,YES,0.0182348342,1.0000000000,0.0411122628,1.0000000000,YES
21,fine_tune,YES,0.0134542662,1.0000000000,0.0382838845,1.0000000000,YES
22,fine_tune,YES,0.0173332466,1.0000000000,0.0361903794,1.0000000000,YES
23,fine_tune,YES,0.0168427168,1.0000000000,0.0335257910,1.0000000000,YES
24,fine_tune,YES,0.0133805716,1.0000000000,0.0275767948,1.0000000000,YES
25,fine_tune,YES,0.0112534172,1.0000000000,0.0262110271,1.0000000000,YES
26,fine_tune,YES,0.0122478984,1.0000000000,0.0253462493,1.0000000000,YES
27,fine_tune,YES,0.0095777658,1.0000000000,0.0255715232,1.0000000000,NO
28,fine_tune,YES,0.0099631399,1.0000000000,0.0228570551,1.0000000000,YES
29,fine_tune,YES,0.0061362425,1.0000000000,0.0204938650,1.0000000000,YES
30,fine_tune,YES,0.0068560945,1.0000000000,0.0192443226,1.0000000000,YES
