class,class_index,precision,recall,f1,support,true_positive,false_positive,false_negative
scratch,0,1.0000000000,0.9583333333,0.9787234043,72,69,0,3
surface_spot,1,0.9718309859,0.9583333333,0.9650349650,72,69,2,3
discoloration,2,0.9863013699,1.0000000000,0.9931034483,72,72,1,0
contamination,3,0.9577464789,0.9444444444,0.9510489510,72,68,3,4
lead_breakage,4,0.9729729730,1.0000000000,0.9863013699,72,72,2,0
body_chip,5,0.9342105263,0.9861111111,0.9594594595,72,71,5,1
body_crack,6,1.0000000000,0.9722222222,0.9859154930,72,70,0,2
