epoch,phase,backbone_trainable,train_loss,train_accuracy,validation_loss,validation_accuracy,train_sample_count,optimizer_updates_this_epoch,optimizer_updates_cumulative,selected_as_best
1,head_warmup,NO,2.0337701837,0.1547619048,1.9395906925,0.2500000000,168,6,6,NO
2,head_warmup,NO,1.9509790937,0.1547619048,1.9240866899,0.2142857143,168,6,12,NO
3,head_warmup,NO,1.9272632798,0.2023809524,1.8699169159,0.1785714286,168,6,18,NO
4,head_warmup,NO,1.8697605928,0.2559523810,1.8314610720,0.3928571429,168,6,24,NO
5,fine_tune,YES,1.7342926661,0.3511904762,1.6544113159,0.4285714286,168,6,30,YES
6,fine_tune,YES,1.2626858751,0.7023809524,1.2168170214,0.5714285714,168,6,36,YES
7,fine_tune,YES,0.9260022144,0.7738095238,0.8615597486,0.6785714286,168,6,42,YES
8,fine_tune,YES,0.6629038701,0.8511904762,0.5765095353,0.8214285714,168,6,48,YES
9,fine_tune,YES,0.4812775354,0.8988095238,0.4333522022,0.8214285714,168,6,54,YES
10,fine_tune,YES,0.4177140544,0.8809523810,0.4230028093,0.8214285714,168,6,60,YES
11,fine_tune,YES,0.2970225935,0.9285714286,0.3262129128,0.8928571429,168,6,66,YES
12,fine_tune,YES,0.2189016690,0.9702380952,0.2955570817,0.8928571429,168,6,72,YES
13,fine_tune,YES,0.1609360290,0.9940476190,0.2657426298,0.8928571429,168,6,78,YES
14,fine_tune,YES,0.1211868736,0.9940476190,0.2419628054,0.8928571429,168,6,84,YES
15,fine_tune,YES,0.0930702128,0.9940476190,0.2033702582,0.9285714286,168,6,90,YES
16,fine_tune,YES,0.0607006898,0.9940476190,0.1296530664,0.9642857143,168,6,96,YES
17,fine_tune,YES,0.0592976951,0.9940476190,0.0900118798,0.9642857143,168,6,102,YES
18,fine_tune,YES,0.0405199965,1.0000000000,0.0787687674,0.9642857143,168,6,108,YES
19,fine_tune,YES,0.0448889621,1.0000000000,0.0764893964,0.9642857143,168,6,114,YES
20,fine_tune,YES,0.0253826960,1.0000000000,0.0656491145,1.0000000000,168,6,120,YES
21,fine_tune,YES,0.0322297765,1.0000000000,0.0576772504,1.0000000000,168,6,126,YES
22,fine_tune,YES,0.0237487471,1.0000000000,0.0430679210,1.0000000000,168,6,132,YES
23,fine_tune,YES,0.0216018958,1.0000000000,0.0301644262,1.0000000000,168,6,138,YES
24,fine_tune,YES,0.0208155792,1.0000000000,0.0252823438,1.0000000000,168,6,144,YES
25,fine_tune,YES,0.0160663454,1.0000000000,0.0242717415,1.0000000000,168,6,150,YES
26,fine_tune,YES,0.0141927133,1.0000000000,0.0268923640,1.0000000000,168,6,156,NO
27,fine_tune,YES,0.0130794939,1.0000000000,0.0311704967,1.0000000000,168,6,162,NO
28,fine_tune,YES,0.0154589696,1.0000000000,0.0315775611,1.0000000000,168,6,168,NO
29,fine_tune,YES,0.0114045451,1.0000000000,0.0302383639,1.0000000000,168,6,174,NO
30,fine_tune,YES,0.0083152485,1.0000000000,0.0315513983,1.0000000000,168,6,180,NO
