class,class_index,precision,recall,f1,support,true_positive,false_positive,false_negative
scratch,0,1.0000000000,0.9583333333,0.9787234043,72,69,0,3
surface_spot,1,1.0000000000,0.9722222222,0.9859154930,72,70,0,2
discoloration,2,1.0000000000,0.9861111111,0.9930069930,72,71,0,1
contamination,3,0.9729729730,1.0000000000,0.9863013699,72,72,2,0
lead_breakage,4,1.0000000000,1.0000000000,1.0000000000,72,72,0,0
body_chip,5,0.9113924051,1.0000000000,0.9536423841,72,72,7,0
body_crack,6,1.0000000000,0.9583333333,0.9787234043,72,69,0,3
