epoch,phase,backbone_trainable,train_loss,train_accuracy,validation_loss,validation_accuracy,selected_as_best
1,head_warmup,NO,1.8939646766,0.2482993197,1.7220517397,0.4642857143,NO
2,head_warmup,NO,1.6328564797,0.5357142857,1.5140151978,0.6071428571,NO
3,head_warmup,NO,1.4458931032,0.6590136054,1.3913271427,0.6428571429,NO
4,head_warmup,NO,1.3025776999,0.6981292517,1.2793807983,0.6428571429,NO
5,fine_tune,YES,0.6137296093,0.8095238095,0.2278016359,0.8928571429,YES
6,fine_tune,YES,0.0926704269,0.9838435374,0.0920335054,0.9642857143,YES
7,fine_tune,YES,0.0330500328,0.9948979592,0.0345624052,1.0000000000,YES
8,fine_tune,YES,0.0180485883,0.9974489796,0.0309880953,1.0000000000,YES
9,fine_tune,YES,0.0087372505,1.0000000000,0.0203509964,1.0000000000,YES
10,fine_tune,YES,0.0062396392,1.0000000000,0.0141914589,1.0000000000,YES
11,fine_tune,YES,0.0040255400,1.0000000000,0.0192010552,1.0000000000,NO
12,fine_tune,YES,0.0037951335,1.0000000000,0.0233483221,1.0000000000,NO
13,fine_tune,YES,0.0021533664,1.0000000000,0.0215075146,1.0000000000,NO
14,fine_tune,YES,0.0018336716,1.0000000000,0.0204406530,1.0000000000,NO
15,fine_tune,YES,0.0014007078,1.0000000000,0.0094776768,1.0000000000,YES
16,fine_tune,YES,0.0013022768,1.0000000000,0.0116539998,1.0000000000,NO
17,fine_tune,YES,0.0013989492,1.0000000000,0.0092710778,1.0000000000,YES
18,fine_tune,YES,0.0011630798,1.0000000000,0.0109498342,1.0000000000,NO
19,fine_tune,YES,0.0124175610,0.9974489796,0.0024690705,1.0000000000,YES
20,fine_tune,YES,0.0055496619,0.9991496599,0.0109863803,1.0000000000,NO
21,fine_tune,YES,0.0032263869,1.0000000000,0.0091585787,1.0000000000,NO
22,fine_tune,YES,0.0011506418,1.0000000000,0.0104618194,1.0000000000,NO
23,fine_tune,YES,0.0010639773,1.0000000000,0.0063577071,1.0000000000,NO
24,fine_tune,YES,0.0012952463,1.0000000000,0.0116256159,1.0000000000,NO
25,fine_tune,YES,0.0008282142,1.0000000000,0.0161005314,1.0000000000,NO
