class,class_index,precision,recall,f1,support,true_positive,false_positive,false_negative
scratch,0,1.0000000000,0.9583333333,0.9787234043,72,69,0,3
surface_spot,1,0.9459459459,0.9722222222,0.9589041096,72,70,4,2
discoloration,2,0.9861111111,0.9861111111,0.9861111111,72,71,1,1
contamination,3,0.9701492537,0.9027777778,0.9352517986,72,65,2,7
lead_breakage,4,0.8780487805,1.0000000000,0.9350649351,72,72,10,0
body_chip,5,0.9571428571,0.9305555556,0.9436619718,72,67,3,5
body_crack,6,0.9857142857,0.9583333333,0.9718309859,72,69,1,3
