epoch,phase,backbone_trainable,train_loss,train_accuracy,validation_loss,validation_accuracy,train_sample_count,optimizer_updates_this_epoch,optimizer_updates_cumulative,selected_as_best
1,head_warmup,NO,2.0075669686,0.1607142857,1.9251664877,0.2142857143,168,6,6,NO
2,head_warmup,NO,1.9503146410,0.1547619048,1.9001996517,0.2500000000,168,6,12,NO
3,head_warmup,NO,1.8768339356,0.2440476190,1.8447264433,0.2857142857,168,6,18,NO
4,head_warmup,NO,1.8311448495,0.3095238095,1.8127737045,0.2500000000,168,6,24,NO
5,fine_tune,YES,1.8165884018,0.3095238095,1.6906236410,0.3928571429,168,6,30,YES
6,fine_tune,YES,1.3031067848,0.6428571429,1.2888551950,0.5357142857,168,6,36,YES
7,fine_tune,YES,0.9474490384,0.7857142857,0.8797969818,0.7500000000,168,6,42,YES
8,fine_tune,YES,0.7153906027,0.8333333333,0.6629684567,0.7500000000,168,6,48,YES
9,fine_tune,YES,0.5275270194,0.8690476190,0.4740465581,0.7857142857,168,6,54,YES
10,fine_tune,YES,0.4093198031,0.9166666667,0.3397713006,0.8571428571,168,6,60,YES
11,fine_tune,YES,0.3094443778,0.9523809524,0.3074193895,0.8571428571,168,6,66,YES
12,fine_tune,YES,0.2508104195,0.9464285714,0.3064462245,0.8571428571,168,6,72,YES
13,fine_tune,YES,0.1767239856,0.9761904762,0.2310653776,0.8928571429,168,6,78,YES
14,fine_tune,YES,0.1492448747,0.9761904762,0.1792654842,0.9285714286,168,6,84,YES
15,fine_tune,YES,0.1054303317,0.9880952381,0.1339363307,0.9642857143,168,6,90,YES
16,fine_tune,YES,0.0925318996,0.9880952381,0.1317944825,0.9642857143,168,6,96,YES
17,fine_tune,YES,0.0521771051,1.0000000000,0.0833445787,1.0000000000,168,6,102,YES
18,fine_tune,YES,0.0537791330,0.9880952381,0.0624762960,1.0000000000,168,6,108,YES
19,fine_tune,YES,0.0284524647,1.0000000000,0.0521726906,1.0000000000,168,6,114,YES
20,fine_tune,YES,0.0349027850,1.0000000000,0.0505217202,1.0000000000,168,6,120,YES
21,fine_tune,YES,0.0187317436,1.0000000000,0.0456964560,1.0000000000,168,6,126,YES
22,fine_tune,YES,0.0277047716,1.0000000000,0.0390049405,1.0000000000,168,6,132,YES
23,fine_tune,YES,0.0241197137,1.0000000000,0.0345104896,1.0000000000,168,6,138,YES
24,fine_tune,YES,0.0222547931,1.0000000000,0.0300019886,1.0000000000,168,6,144,YES
25,fine_tune,YES,0.0222723864,0.9940476190,0.0292422287,1.0000000000,168,6,150,YES
26,fine_tune,YES,0.0170445605,1.0000000000,0.0309520271,1.0000000000,168,6,156,NO
27,fine_tune,YES,0.0154304701,1.0000000000,0.0293067396,1.0000000000,168,6,162,NO
28,fine_tune,YES,0.0129562889,1.0000000000,0.0262000989,1.0000000000,168,6,168,YES
29,fine_tune,YES,0.0115123976,1.0000000000,0.0206732806,1.0000000000,168,6,174,YES
30,fine_tune,YES,0.0107840092,1.0000000000,0.0187327247,1.0000000000,168,6,180,YES
