class,class_index,precision,recall,f1,support,true_positive,false_positive,false_negative
scratch,0,1.0000000000,0.9861111111,0.9930069930,72,71,0,1
surface_spot,1,0.9863013699,1.0000000000,0.9931034483,72,72,1,0
discoloration,2,0.9861111111,0.9861111111,0.9861111111,72,71,1,1
contamination,3,1.0000000000,0.9722222222,0.9859154930,72,70,0,2
lead_breakage,4,1.0000000000,1.0000000000,1.0000000000,72,72,0,0
body_chip,5,0.9350649351,1.0000000000,0.9664429530,72,72,5,0
body_crack,6,1.0000000000,0.9583333333,0.9787234043,72,69,0,3
