class,class_index,precision,recall,f1,support,true_positive,false_positive,false_negative
scratch,0,1.0000000000,0.9861111111,0.9930069930,72,71,0,1
surface_spot,1,1.0000000000,1.0000000000,1.0000000000,72,72,0,0
discoloration,2,1.0000000000,0.9861111111,0.9930069930,72,71,0,1
contamination,3,1.0000000000,1.0000000000,1.0000000000,72,72,0,0
lead_breakage,4,0.9729729730,1.0000000000,0.9863013699,72,72,2,0
body_chip,5,0.9722222222,0.9722222222,0.9722222222,72,70,2,2
body_crack,6,0.9861111111,0.9861111111,0.9861111111,72,71,1,1
