epoch,phase,backbone_trainable,train_loss,train_accuracy,validation_loss,validation_accuracy,selected_as_best
1,head_warmup,NO,2.0384386977,0.1428571429,1.9433735609,0.2500000000,NO
2,head_warmup,NO,1.9563307365,0.1666666667,1.9271725416,0.2500000000,NO
3,head_warmup,NO,1.9178783298,0.2202380952,1.8718744516,0.2500000000,NO
4,head_warmup,NO,1.8651780883,0.2440476190,1.8261163235,0.3214285714,NO
5,fine_tune,YES,1.7322697441,0.3690476190,1.6843763590,0.4642857143,YES
6,fine_tune,YES,1.1540262699,0.7619047619,1.2247174978,0.7142857143,YES
7,fine_tune,YES,0.7275492052,0.8928571429,0.8255010247,0.7857142857,YES
8,fine_tune,YES,0.5424023767,0.8928571429,0.5560618639,0.8571428571,YES
9,fine_tune,YES,0.3949993998,0.9345238095,0.3987713456,0.8928571429,YES
10,fine_tune,YES,0.3057610020,0.9464285714,0.3327376842,0.9285714286,YES
11,fine_tune,YES,0.1926112622,0.9761904762,0.2648352683,0.9285714286,YES
12,fine_tune,YES,0.1450007533,0.9642857143,0.2065142542,0.9285714286,YES
13,fine_tune,YES,0.0938713675,1.0000000000,0.1687627286,0.9285714286,YES
14,fine_tune,YES,0.0698957549,1.0000000000,0.1387639493,0.9642857143,YES
15,fine_tune,YES,0.0555646420,0.9940476190,0.1149861440,0.9642857143,YES
16,fine_tune,YES,0.0379143925,1.0000000000,0.0888324454,1.0000000000,YES
17,fine_tune,YES,0.0402422581,0.9940476190,0.0989814848,1.0000000000,NO
18,fine_tune,YES,0.0245047137,1.0000000000,0.0868279114,1.0000000000,YES
19,fine_tune,YES,0.0283299408,1.0000000000,0.0626824722,1.0000000000,YES
20,fine_tune,YES,0.0186005079,1.0000000000,0.0538684241,1.0000000000,YES
21,fine_tune,YES,0.0194331928,1.0000000000,0.0494359061,1.0000000000,YES
22,fine_tune,YES,0.0167020291,1.0000000000,0.0453863926,1.0000000000,YES
23,fine_tune,YES,0.0125846596,1.0000000000,0.0417690165,1.0000000000,YES
24,fine_tune,YES,0.0139514132,1.0000000000,0.0376816727,1.0000000000,YES
25,fine_tune,YES,0.0099338285,1.0000000000,0.0358523205,1.0000000000,YES
26,fine_tune,YES,0.0080754526,1.0000000000,0.0359133258,1.0000000000,NO
27,fine_tune,YES,0.0087755230,1.0000000000,0.0361594521,1.0000000000,NO
28,fine_tune,YES,0.0100642141,1.0000000000,0.0361029245,1.0000000000,NO
29,fine_tune,YES,0.0078016568,1.0000000000,0.0355589725,1.0000000000,YES
30,fine_tune,YES,0.0051925109,1.0000000000,0.0357579328,1.0000000000,NO
