class,class_index,precision,recall,f1,support,true_positive,false_positive,false_negative
scratch,0,1.0000000000,0.9583333333,0.9787234043,72,69,0,3
surface_spot,1,0.9857142857,0.9583333333,0.9718309859,72,69,1,3
discoloration,2,1.0000000000,1.0000000000,1.0000000000,72,72,0,0
contamination,3,0.9333333333,0.9722222222,0.9523809524,72,70,5,2
lead_breakage,4,0.9600000000,1.0000000000,0.9795918367,72,72,3,0
body_chip,5,0.9333333333,0.9722222222,0.9523809524,72,70,5,2
body_crack,6,1.0000000000,0.9444444444,0.9714285714,72,68,0,4
