class,class_index,precision_mean,precision_sample_std,precision_min,precision_max,recall_mean,recall_sample_std,recall_min,recall_max,f1_mean,f1_sample_std,f1_min,f1_max,support_per_run
scratch,0,1.0000000000,0.0000000000,1.0000000000,1.0000000000,0.9444444444,0.0240562612,0.9166666667,0.9583333333,0.9713228492,0.0128181373,0.9565217391,0.9787234043,72
surface_spot,1,0.9810865191,0.0080155269,0.9718309859,0.9857142857,0.9583333333,0.0000000000,0.9583333333,0.9583333333,0.9695656456,0.0039236845,0.9650349650,0.9718309859,72
discoloration,2,0.9954337900,0.0079089078,0.9863013699,1.0000000000,0.9953703704,0.0080187537,0.9861111111,1.0000000000,0.9953701471,0.0040098603,0.9930069930,1.0000000000,72
contamination,3,0.9454284306,0.0122080997,0.9333333333,0.9577464789,0.9583333333,0.0138888889,0.9444444444,0.9722222222,0.9517180138,0.0006660218,0.9510489510,0.9523809524,72
lead_breakage,4,0.9730914476,0.0131510852,0.9600000000,0.9863013699,1.0000000000,0.0000000000,1.0000000000,1.0000000000,0.9863322183,0.0067558586,0.9795918367,0.9931034483,72
body_chip,5,0.9111325061,0.0392150850,0.8658536585,0.9342105263,0.9814814815,0.0080187537,0.9722222222,0.9861111111,0.9446394446,0.0198568135,0.9220779221,0.9594594595,72
body_crack,6,1.0000000000,0.0000000000,1.0000000000,1.0000000000,0.9583333333,0.0138888889,0.9444444444,0.9722222222,0.9786891562,0.0072435215,0.9714285714,0.9859154930,72
