epoch,phase,backbone_trainable,train_loss,train_accuracy,validation_loss,validation_accuracy,selected_as_best
1,head_warmup,NO,1.8548286756,0.2780612245,1.7313191891,0.4285714286,NO
2,head_warmup,NO,1.6055521710,0.4982993197,1.5486106873,0.4285714286,NO
3,head_warmup,NO,1.4231798933,0.6488095238,1.3985059261,0.6428571429,NO
4,head_warmup,NO,1.2828837803,0.6845238095,1.2842057943,0.6785714286,NO
5,fine_tune,YES,0.6585567606,0.7925170068,0.2856466174,0.8928571429,YES
6,fine_tune,YES,0.0993840656,0.9787414966,0.0868138075,0.9642857143,YES
7,fine_tune,YES,0.0279080635,0.9974489796,0.0365225263,1.0000000000,YES
8,fine_tune,YES,0.0112079259,1.0000000000,0.0192089714,1.0000000000,YES
9,fine_tune,YES,0.0086093931,0.9991496599,0.0254008137,1.0000000000,NO
10,fine_tune,YES,0.0115415248,0.9982993197,0.0096053053,1.0000000000,YES
11,fine_tune,YES,0.0041514516,1.0000000000,0.0105288383,1.0000000000,NO
12,fine_tune,YES,0.0027631257,1.0000000000,0.0065752193,1.0000000000,YES
13,fine_tune,YES,0.0029693870,1.0000000000,0.0091815814,1.0000000000,NO
14,fine_tune,YES,0.0024332491,1.0000000000,0.0112678688,1.0000000000,NO
15,fine_tune,YES,0.0031843675,1.0000000000,0.0076482147,1.0000000000,NO
16,fine_tune,YES,0.0014582181,1.0000000000,0.0060688793,1.0000000000,YES
17,fine_tune,YES,0.0015470688,1.0000000000,0.0066571338,1.0000000000,NO
18,fine_tune,YES,0.0010921611,1.0000000000,0.0033394273,1.0000000000,YES
19,fine_tune,YES,0.0012130840,1.0000000000,0.0050985529,1.0000000000,NO
20,fine_tune,YES,0.0009859521,1.0000000000,0.0054850406,1.0000000000,NO
21,fine_tune,YES,0.0026073144,0.9991496599,0.0013103168,1.0000000000,YES
22,fine_tune,YES,0.0056673800,0.9974489796,0.0071438397,1.0000000000,NO
23,fine_tune,YES,0.0019062069,1.0000000000,0.0034104246,1.0000000000,NO
24,fine_tune,YES,0.0010721479,1.0000000000,0.0034362134,1.0000000000,NO
25,fine_tune,YES,0.0012681937,1.0000000000,0.0087441225,1.0000000000,NO
26,fine_tune,YES,0.0007731186,1.0000000000,0.0063895737,1.0000000000,NO
27,fine_tune,YES,0.0005635185,1.0000000000,0.0032194394,1.0000000000,NO
