class,class_index,precision_mean,precision_sample_std,precision_min,precision_max,recall_mean,recall_sample_std,recall_min,recall_max,f1_mean,f1_sample_std,f1_min,f1_max,support_per_run
scratch,0,1.0000000000,0.0000000000,1.0000000000,1.0000000000,0.9768518519,0.0160375075,0.9583333333,0.9861111111,0.9882457968,0.0082466338,0.9787234043,0.9930069930,72
surface_spot,1,0.9783549784,0.0374902772,0.9350649351,1.0000000000,0.9907407407,0.0160375075,0.9722222222,1.0000000000,0.9841194820,0.0168504627,0.9664429530,1.0000000000,72
discoloration,2,0.9954337900,0.0079089078,0.9863013699,1.0000000000,0.9907407407,0.0080187537,0.9861111111,1.0000000000,0.9930391448,0.0000556885,0.9930069930,0.9931034483,72
contamination,3,0.9909909910,0.0156040613,0.9729729730,1.0000000000,0.9722222222,0.0481125224,0.9166666667,1.0000000000,0.9809410363,0.0222292527,0.9565217391,1.0000000000,72
lead_breakage,4,0.9909909910,0.0156040613,0.9729729730,1.0000000000,1.0000000000,0.0000000000,1.0000000000,1.0000000000,0.9954337900,0.0079089078,0.9863013699,1.0000000000,72
body_chip,5,0.9436610161,0.0305839059,0.9113924051,0.9722222222,0.9907407407,0.0160375075,0.9722222222,1.0000000000,0.9662791931,0.0109502335,0.9536423841,0.9729729730,72
body_crack,6,0.9953703704,0.0080187537,0.9861111111,1.0000000000,0.9675925926,0.0160375075,0.9583333333,0.9861111111,0.9811859732,0.0042652945,0.9787234043,0.9861111111,72
