class,class_index,precision,recall,f1,support,true_positive,false_positive,false_negative
scratch,0,1.0000000000,0.9444444444,0.9714285714,72,68,0,4
surface_spot,1,0.9861111111,0.9861111111,0.9861111111,72,71,1,1
discoloration,2,1.0000000000,0.9861111111,0.9930069930,72,71,0,1
contamination,3,0.9857142857,0.9583333333,0.9718309859,72,69,1,3
lead_breakage,4,0.8571428571,1.0000000000,0.9230769231,72,72,12,0
body_chip,5,0.9565217391,0.9166666667,0.9361702128,72,66,3,6
body_crack,6,1.0000000000,0.9722222222,0.9859154930,72,70,0,2
