class,class_index,precision_mean,precision_sample_std,precision_min,precision_max,recall_mean,recall_sample_std,recall_min,recall_max,f1_mean,f1_sample_std,f1_min,f1_max,support_per_run
scratch,0,1.0000000000,0.0000000000,1.0000000000,1.0000000000,0.9490740741,0.0080187537,0.9444444444,0.9583333333,0.9738601824,0.0042116737,0.9714285714,0.9787234043,72
surface_spot,1,0.9773523524,0.0280712857,0.9459459459,1.0000000000,0.9768518519,0.0080187537,0.9722222222,0.9861111111,0.9769769046,0.0156518052,0.9589041096,0.9861111111,72
discoloration,2,0.9953703704,0.0080187537,0.9861111111,1.0000000000,0.9861111111,0.0000000000,0.9861111111,0.9861111111,0.9907083657,0.0039813393,0.9861111111,0.9930069930,72
contamination,3,0.9672698285,0.0200399234,0.9459459459,0.9857142857,0.9444444444,0.0367465460,0.9027777778,0.9722222222,0.9553289647,0.0185498109,0.9352517986,0.9718309859,72
lead_breakage,4,0.8821946809,0.0273613730,0.8571428571,0.9113924051,1.0000000000,0.0000000000,1.0000000000,1.0000000000,0.9372614141,0.0154006572,0.9230769231,0.9536423841,72
body_chip,5,0.9486990096,0.0140906918,0.9324324324,0.9571428571,0.9351851852,0.0212156282,0.9166666667,0.9583333333,0.9416792213,0.0048329583,0.9361702128,0.9452054795,72
body_crack,6,0.9952380952,0.0082478610,0.9857142857,1.0000000000,0.9583333333,0.0138888889,0.9444444444,0.9722222222,0.9763916834,0.0082503149,0.9714285714,0.9859154930,72
